title,stem,tokens,tokens_clean,merged
6 gempa bumi besar dunia yang terjadi awal 2019,6 gempa bumi besar dunia yang jadi awal 2019,"['6', 'gempa', 'bumi', 'besar', 'dunia', 'yang', 'jadi', 'awal', '2019']","['6', 'gempa', 'bumi', 'dunia', '2019']",6 gempa bumi dunia 2019
"gempa m 4,2 terjadi di kudus, dirasakan hingga jepara",gempa m 4 2 jadi di kudus rasa hingga jepara,"['gempa', 'm', '4', '2', 'jadi', 'di', 'kudus', 'rasa', 'hingga', 'jepara']","['gempa', 'm', '4', '2', 'kudus', 'jepara']",gempa m 4 2 kudus jepara
"13 tahun gempa yogyakarta, ini fakta yang perlu diketahui halaman all   kompas.com",13 tahun gempa yogyakarta ini fakta yang perlu tahu halaman all kompas com,"['13', 'tahun', 'gempa', 'yogyakarta', 'ini', 'fakta', 'yang', 'perlu', 'tahu', 'halaman', 'all', 'kompas', 'com']","['13', 'gempa', 'yogyakarta', 'fakta', 'halaman', 'all', 'kompas', 'com']",13 gempa yogyakarta fakta halaman all kompas com
"27 mei hari ini bertepatan dengan gempa bumi yang melanda jogja 13 tahun lalu, simak kilas baliknya",27 mei hari ini tepat dengan gempa bumi yang landa jogja 13 tahun lalu simak kilas balik,"['27', 'mei', 'hari', 'ini', 'tepat', 'dengan', 'gempa', 'bumi', 'yang', 'landa', 'jogja', '13', 'tahun', 'lalu', 'simak', 'kilas', 'balik']","['27', 'mei', 'gempa', 'bumi', 'landa', 'jogja', '13', 'simak', 'kilas']",27 mei gempa bumi landa jogja 13 simak kilas
"minim gempa, kalimantan potensi kebakaran hutan dan banjir",minim gempa kalimantan potensi bakar hutan dan banjir,"['minim', 'gempa', 'kalimantan', 'potensi', 'bakar', 'hutan', 'dan', 'banjir']","['minim', 'gempa', 'kalimantan', 'potensi', 'bakar', 'hutan', 'banjir']",minim gempa kalimantan potensi bakar hutan banjir
"gempa m 6,0 landa nias, bmkg: tidak berpotensi tsunami",gempa m 6 0 landa nias bmkg tidak potensi tsunami,"['gempa', 'm', '6', '0', 'landa', 'nias', 'bmkg', 'tidak', 'potensi', 'tsunami']","['gempa', 'm', '6', '0', 'landa', 'nias', 'bmkg', 'potensi', 'tsunami']",gempa m 6 0 landa nias bmkg potensi tsunami
"gempa m 4,7 terjadi di banggai kepulauan, sulteng",gempa m 4 7 jadi di bangga pulau sulteng,"['gempa', 'm', '4', '7', 'jadi', 'di', 'bangga', 'pulau', 'sulteng']","['gempa', 'm', '4', '7', 'bangga', 'pulau', 'sulteng']",gempa m 4 7 bangga pulau sulteng
"gempa cilacap terasa hingga bandung, yogyakarta dan kebumen",gempa cilacap asa hingga bandung yogyakarta dan kebumen,"['gempa', 'cilacap', 'asa', 'hingga', 'bandung', 'yogyakarta', 'dan', 'kebumen']","['gempa', 'cilacap', 'asa', 'bandung', 'yogyakarta', 'kebumen']",gempa cilacap asa bandung yogyakarta kebumen
"gempa hari ini: m 4,7 di kalimantan utara dipicu sesar aktif",gempa hari ini m 4 7 di kalimantan utara picu sesar aktif,"['gempa', 'hari', 'ini', 'm', '4', '7', 'di', 'kalimantan', 'utara', 'picu', 'sesar', 'aktif']","['gempa', 'm', '4', '7', 'kalimantan', 'utara', 'picu', 'sesar', 'aktif']",gempa m 4 7 kalimantan utara picu sesar aktif
kalimantan juga pernah alami delapan kali gempa sejak tahun 1921,kalimantan juga pernah alami delapan kali gempa sejak tahun 1921,"['kalimantan', 'juga', 'pernah', 'alami', 'delapan', 'kali', 'gempa', 'sejak', 'tahun', '1921']","['kalimantan', 'alami', 'delapan', 'kali', 'gempa', '1921']",kalimantan alami delapan kali gempa 1921
15 6 1896: gempa dahsyat pemicu 2 tsunami mematikan dalam sejarah jepang,15 6 1896 gempa dahsyat picu 2 tsunami mati dalam sejarah jepang,"['15', '6', '1896', 'gempa', 'dahsyat', 'picu', '2', 'tsunami', 'mati', 'dalam', 'sejarah', 'jepang']","['15', '6', '1896', 'gempa', 'dahsyat', 'picu', '2', 'tsunami', 'mati', 'sejarah', 'jepang']",15 6 1896 gempa dahsyat picu 2 tsunami mati sejarah jepang
"gempa magnitudo 5,1 guncang sumba timur, tak berpotensi tsunami",gempa magnitudo 5 1 guncang sumba timur tak potensi tsunami,"['gempa', 'magnitudo', '5', '1', 'guncang', 'sumba', 'timur', 'tak', 'potensi', 'tsunami']","['gempa', 'magnitudo', '5', '1', 'guncang', 'sumba', 'timur', 'potensi', 'tsunami']",gempa magnitudo 5 1 guncang sumba timur potensi tsunami
"gempa m 5,1 terjadi di sumba timur ntt",gempa m 5 1 jadi di sumba timur ntt,"['gempa', 'm', '5', '1', 'jadi', 'di', 'sumba', 'timur', 'ntt']","['gempa', 'm', '5', '1', 'sumba', 'timur', 'ntt']",gempa m 5 1 sumba timur ntt
"gempa hari ini: ntt berguncang 2 kali, apa sebabnya?",gempa hari ini ntt guncang 2 kali apa sebab,"['gempa', 'hari', 'ini', 'ntt', 'guncang', '2', 'kali', 'apa', 'sebab']","['gempa', 'ntt', 'guncang', '2', 'kali']",gempa ntt guncang 2 kali
"gempa 5,9 m guncang china, sedikitnya 11 orang tewas",gempa 5 9 m guncang china sedikit 11 orang tewas,"['gempa', '5', '9', 'm', 'guncang', 'china', 'sedikit', '11', 'orang', 'tewas']","['gempa', '5', '9', 'm', 'guncang', 'china', '11', 'orang', 'tewas']",gempa 5 9 m guncang china 11 orang tewas
"gempa 6 sr guncang china, 11 orang tewas",gempa 6 sr guncang china 11 orang tewas,"['gempa', '6', 'sr', 'guncang', 'china', '11', 'orang', 'tewas']","['gempa', '6', 'sr', 'guncang', 'china', '11', 'orang', 'tewas']",gempa 6 sr guncang china 11 orang tewas
jepang cabut peringatan tsunami dua jam usai gempa,jepang cabut ingat tsunami dua jam usai gempa,"['jepang', 'cabut', 'ingat', 'tsunami', 'dua', 'jam', 'usai', 'gempa']","['jepang', 'cabut', 'tsunami', 'jam', 'gempa']",jepang cabut tsunami jam gempa
"gempa m 6,8 hantam jepang, rumah hancur, jalanan retak",gempa m 6 8 hantam jepang rumah hancur jalan retak,"['gempa', 'm', '6', '8', 'hantam', 'jepang', 'rumah', 'hancur', 'jalan', 'retak']","['gempa', 'm', '6', '8', 'hantam', 'jepang', 'rumah', 'hancur', 'jalan', 'retak']",gempa m 6 8 hantam jepang rumah hancur jalan retak
korban bencana sulteng minta perhatian pemerintah perbaiki jalan   kumparan.com,korban bencana sulteng minta perhati perintah baik jalan kumpar com,"['korban', 'bencana', 'sulteng', 'minta', 'perhati', 'perintah', 'baik', 'jalan', 'kumpar', 'com']","['korban', 'bencana', 'sulteng', 'perhati', 'perintah', 'jalan', 'kumpar', 'com']",korban bencana sulteng perhati perintah jalan kumpar com
china bantah eksplorasi gas penyebab gempa bumi di sichuan,china bantah eksplorasi gas sebab gempa bumi di sichuan,"['china', 'bantah', 'eksplorasi', 'gas', 'sebab', 'gempa', 'bumi', 'di', 'sichuan']","['china', 'bantah', 'eksplorasi', 'gas', 'gempa', 'bumi', 'sichuan']",china bantah eksplorasi gas gempa bumi sichuan
